blockCode,blockID,blockName,groupNumberInBlock,groupID,groupOrder,year,numberOfSamples,distFrO,Distance from the year on the 187x-side of change vector,YEAR on the 187x-side of change vector,eraNumber,referenceShoreline?,avgEasting,avgNorthing,chgRates,intervalStart,intervalEnd,chgVector,chgRate
2.06,GLc6,Twin Harbors SP,5,51,northern-most,1860,9,-414,-413.9544444,1886,4,0,224320.8889,178912.4667,0.9,1700,1886,565,3
2.06,GLc6,Twin Harbors SP,5,51,northern-most,1886,8,0,NaN,NaN,5,1,223903.8375,178896.1,15.9,1886,1926,239,6
2.06,GLc6,Twin Harbors SP,5,51,northern-most,1898,9,2,1.825555556,1886,6,0,223916.5667,178847.1333,0.2,1926,1951,-97,-3.9
2.06,GLc6,Twin Harbors SP,5,51,northern-most,1909,9,320,318.6511111,1898,7,0,223593.6556,178823.6556,29,1951,1999,83,1.7
2.06,GLc6,Twin Harbors SP,5,51,northern-most,1926,8,239,239.3075,1886,8,0,223672.575,178834.6,-4.8,1886,1999,225,2
2.06,GLc6,Twin Harbors SP,5,51,northern-most,1951,8,142,-97.33625,1926,9,0,223773.1875,178832.1875,-3.9,,,,
2.06,GLc6,Twin Harbors SP,5,51,northern-most,1967,8,239,97.03,1951.5,10,0,223661.7625,178860.025,5.9,,,,
2.06,GLc6,Twin Harbors SP,5,51,northern-most,1974,8,227,-12.3325,1967.33,11,0,223672.9875,178865.5125,-1.7,,,,
2.06,GLc6,Twin Harbors SP,5,51,northern-most,1987,9,235,8.553333333,1974.45,12,0,223672.2111,178837.1444,0.7,,,,
2.06,GLc6,Twin Harbors SP,5,51,northern-most,1995,8,212,-23.27875,1987.5,13,0,223695.0125,178842.1375,-2.8,,,,
2.06,GLc6,Twin Harbors SP,5,51,northern-most,1999,8,225,12.93875,1995.67,14,0,223685.4125,178822.7,3.4,,,,
2.06,GLc6,Twin Harbors SP,5,51,northern-most,2006,8,206,-18.9975,1999.4,15,0,223703.1875,178828.2,-2.7,,,,
2.06,GLc6,Twin Harbors SP,5,52,2nd from top,-850,6,-1052,-416.4316667,650,1,0,225213.5167,177864.3167,,,,,
2.06,GLc6,Twin Harbors SP,5,52,2nd from top,650,9,-635,-261.2444444,1700,2,0,224793.1222,178029.4111,0.3,,,,
2.06,GLc6,Twin Harbors SP,5,52,2nd from top,1700,9,-374,-374.1877778,1886,3,0,224522.4778,178103.4444,0.2,,,,
2.06,GLc6,Twin Harbors SP,5,52,2nd from top,1860,6,-241,-240.605,1886,4,0,224350.3667,178221.45,0.8,1700,1886,374,2
2.06,GLc6,Twin Harbors SP,5,52,2nd from top,1886,9,0,NaN,NaN,5,1,224142.4889,178074.5222,9.3,1886,1926,276,6.9
2.06,GLc6,Twin Harbors SP,5,52,2nd from top,1898,9,31,30.51555556,1886,6,0,224140.3667,177970.4667,2.5,1926,1951,-115,-4.6
2.06,GLc6,Twin Harbors SP,5,52,2nd from top,1909,10,241,210.876,1898,7,0,223923.84,177966.58,19.2,1951,1999,119,2.5
2.06,GLc6,Twin Harbors SP,5,52,2nd from top,1926,9,276,276.2455556,1886,8,0,223875.5667,178003.4111,2.1,1886,1999,281,2.5
2.06,GLc6,Twin Harbors SP,5,52,2nd from top,1951,9,162,-114.5955556,1926,9,0,223995.0889,177996.7333,-4.6,,,,
2.06,GLc6,Twin Harbors SP,5,52,2nd from top,1967,10,226,64.748,1951.5,10,0,223926.78,178003.15,4,,,,
2.06,GLc6,Twin Harbors SP,5,52,2nd from top,1974,10,249,23.101,1967.33,11,0,223905.24,177994.91,3.2,,,,
2.06,GLc6,Twin Harbors SP,5,52,2nd from top,1987,9,274,24.01555556,1974.45,12,0,223887.9667,177962.4333,1.9,,,,
2.06,GLc6,Twin Harbors SP,5,52,2nd from top,1995,9,288,14.29666667,1987.5,13,0,223860.4889,178013.6333,1.7,,,,
2.06,GLc6,Twin Harbors SP,5,52,2nd from top,1999,9,281,-7.112222222,1995.67,14,0,223872.6,177991.1667,-1.9,,,,
2.06,GLc6,Twin Harbors SP,5,52,2nd from top,2006,9,269,-12.12555556,1999.4,15,0,223884.4333,177993.7667,-1.7,,,,
2.06,GLc6,Twin Harbors SP,5,53,middle,-850,8,-954,-470.36625,650,1,0,225364.225,177196.2625,,,,,
2.06,GLc6,Twin Harbors SP,5,53,middle,650,9,-483,-246.0933333,1700,2,0,224895.8444,177150.6444,0.3,,,,
2.06,GLc6,Twin Harbors SP,5,53,middle,1700,9,-237,-237.1344444,1886,3,0,224639.5556,177206.7778,0.2,,,,
2.06,GLc6,Twin Harbors SP,5,53,middle,1886,9,0,NaN,NaN,5,1,224392.0667,177210.9333,1.3,1700,1886,237,1.3
2.06,GLc6,Twin Harbors SP,5,53,middle,1898,9,33,32.67111111,1886,6,0,224387.8889,177106.1667,2.7,1886,1926,305,7.6
2.06,GLc6,Twin Harbors SP,5,53,middle,1909,9,198,165.6688889,1898,7,0,224219.1333,177087.9222,15.1,1926,1951,-93,-3.7
2.06,GLc6,Twin Harbors SP,5,53,middle,1926,9,305,305.1188889,1886,8,0,224096.2333,177136.3889,6.3,1951,1999,131,2.7
2.06,GLc6,Twin Harbors SP,5,53,middle,1951,9,212,-93.4,1926,9,0,224197.8,177114.1111,-3.7,1886,1999,343,3
2.06,GLc6,Twin Harbors SP,5,53,middle,1967,8,232,20.485,1951.5,10,0,224172.2625,177137.15,1.3,,,,
2.06,GLc6,Twin Harbors SP,5,53,middle,1974,8,252,20.11125,1967.33,11,0,224154.0375,177128,2.8,,,,
2.06,GLc6,Twin Harbors SP,5,53,middle,1987,9,297,44.80333333,1974.45,12,0,224118.7667,177091.8111,3.5,,,,
2.06,GLc6,Twin Harbors SP,5,53,middle,1995,9,356,59.19777778,1987.5,13,0,224046.1778,177132.5778,7.2,,,,
2.06,GLc6,Twin Harbors SP,5,53,middle,1999,9,343,-13.21777778,1995.67,14,0,224062.9778,177117.7333,-3.5,,,,
2.06,GLc6,Twin Harbors SP,5,53,middle,2006,9,328,-15.01222222,1999.4,15,0,224077.6667,177120.8111,-2.2,,,,
2.06,GLc6,Twin Harbors SP,5,54,2nd from bottom,-850,8,-876,-482.71,650,1,0,225515.5125,176416.1375,,,,,
2.06,GLc6,Twin Harbors SP,5,54,2nd from bottom,650,8,-393,-256.1675,1700,2,0,225043.625,176313.55,0.3,,,,
2.06,GLc6,Twin Harbors SP,5,54,2nd from bottom,1700,9,-137,-137.2177778,1886,3,0,224783.2333,176316.2111,0.2,,,,
2.06,GLc6,Twin Harbors SP,5,54,2nd from bottom,1886,8,0,NaN,NaN,5,1,224623.4875,176386.3,0.7,1700,1886,137,0.7
2.06,GLc6,Twin Harbors SP,5,54,2nd from bottom,1926,8,339,338.6025,1886,8,0,224293.875,176308.8375,8.5,1886,1926,339,8.5
2.06,GLc6,Twin Harbors SP,5,54,2nd from bottom,1951,8,283,-56.07375,1926,9,0,224355.6375,176298.575,-2.2,1926,1951,-56,-2.2
2.06,GLc6,Twin Harbors SP,5,54,2nd from bottom,1967,9,270,-12.58555556,1951.5,10,0,224365.8,176311.4222,-0.8,1951,1999,101,2.1
2.06,GLc6,Twin Harbors SP,5,54,2nd from bottom,1974,9,271,1.484444444,1967.33,11,0,224366.5778,176303.4333,0.2,1886,1999,383,3.4
2.06,GLc6,Twin Harbors SP,5,54,2nd from bottom,1987,8,315,43.96,1974.45,12,0,224329.525,176267.475,3.4,,,,
2.06,GLc6,Twin Harbors SP,5,54,2nd from bottom,1995,8,413,97.38875,1987.5,13,0,224221.6,176301.1375,11.8,,,,
2.06,GLc6,Twin Harbors SP,5,54,2nd from bottom,1999,8,383,-29.34375,1995.67,14,0,224254.55,176287.6875,-7.7,,,,
2.06,GLc6,Twin Harbors SP,5,54,2nd from bottom,2006,8,385,1.23375,1999.4,15,0,224253.3375,176287.4375,0.2,,,,
